RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,5000,70,3.75,6,0,1,8.517193191,2,5000
1,10000,48,2.75,7,0,1,8.517193191,1,5000
1,1000,39,3.25,7,1,1,8.517193191,2,5000
1,0,75,3.25,7,0,1,8.517193191,2,5000
1,2000,48,2.75,8,1,0,8.517193191,2,5000
1,1000,42,3.75,6,0,1,8.517193191,1,5000
1,200,64,3.75,4,0,1,8.517193191,2,5000
1,5000,44,1,7,1,1,8.517193191,2,5000
1,95,53,3,7,0,1,8.517193191,2,5000
1,25000,65,3.5,6,0,1,8.517193191,2,5000
1,1000,82,3,7,0,1,8.517193191,2,5000
1,1500,67,4.5,5,0,1,8.517193191,2,5000
1,678,38,2,9,1,1,8.517193191,2,5000
1,800,54,2.25,7,0,1,8.517193191,2,5000
1,5000,52,3,3,1,1,8.517193191,2,5000
1,200,42,3.25,8,0,1,8.517193191,2,5000
1,100,18,4,5,0,0,8.517193191,2,5000
1,500,41,4.5,7,0,1,8.517193191,2,5000
1,350,51,4.5,3,0,0,8.517193191,2,5000
1,280,40,4.25,7,0,1,8.517193191,1,5000
1,1000,19,3.5,7,0,1,8.517193191,1,5000
1,2000,45,2.75,7,1,1,8.517193191,1,5000
1,150,26,3.25,7,0,0,8.517193191,1,5000
1,45,32,4,3,0,0,8.699514748,1,6000
1,75,50,3.25,5,0,0,8.006367568,1,3000
1,70,35,4.5,4,0,1,8.517193191,2,5000
1,5000,48,3,8,0,1,8.517193191,2,5000
1,76,34,3.5,4,0,0,8.517193191,2,5000
1,100,56,4.5,4,0,0,8.517193191,2,5000
1,254,28,3.5,4,0,0,8.517193191,2,5000
1,235,30,4.5,5,0,0,8.517193191,2,5000
1,2000,35,4.5,4,0,0,8.517193191,2,5000
1,2000,47,2.5,3,1,0,8.517193191,2,5000
1,162,37,4.5,5,0,0,8.517193191,2,5000
1,10000,44,4.25,7,0,0,8.517193191,2,5000
1,50,34,3,7,1,1,8.517193191,2,5000
1,100,54,3,2,1,0,8.517193191,2,5000
1,1000,51,2.75,7,1,0,8.517193191,2,5000
1,1744,42,4.25,5,0,0,8.517193191,2,5000
1,5000,36,3.5,7,0,0,8.517193191,2,5000
1,500,36,4.5,3,0,0,8.517193191,2,5000
1,328,57,4.25,2,0,0,8.006367568,2,3000
1,428,37,4.5,5,0,0,8.517193191,2,5000
1,111,52,4.25,5,0,0,8.517193191,2,5000
1,7865,46,4,7,0,0,8.517193191,2,5000
1,183,28,4.5,7,0,1,8.517193191,2,5000
1,500,37,4,6,0,0,8.517193191,2,5000
1,10000,19,4.5,7,0,0,8.517193191,2,5000
1,2500,38,4.25,7,0,1,8.517193191,2,5000
1,5000,42,3,7,0,1,8.517193191,2,5000
1,30,32,4.25,3,0,1,8.517193191,2,5000
1,13862,23,2.25,4,1,1,8.517193191,2,5000
1,400,24,3.5,3,1,0,8.517193191,2,5000
1,100,17,3.5,6,0,1,8.517193191,2,5000
1,2250,23,3.5,3,0,1,8.29404964,2,4000
1,36,46,3.25,4,0,0,8.517193191,2,5000
1,253,29,2.75,4,0,0,8.517193191,2,5000
1,100,27,4.5,7,0,0,8.160518247,2,3500
1,21,28,4.25,5,0,0,8.517193191,2,5000
1,3000,25,3,4,1,0,8.517193191,2,5000
1,200,41,4.25,4,1,0,8.517193191,2,5000
1,550,37,4.25,7,0,0,8.517193191,2,5000
1,4000,28,4,5,1,0,8.517193191,2,5000
1,50000,42,3,7,0,1,8.517193191,2,5000
1,200,46,3,6,0,1,8.517193191,2,5000
1,17,28,4.5,6,0,1,8.517193191,2,5000
1,246,45,4,7,1,0,8.517193191,2,5000
1,1000,27,3.25,6,0,1,8.517193191,2,5000
1,5200,34,4.5,6,0,1,8.517193191,2,5000
1,1200,23,3.5,6,0,0,8.517193191,2,5000
1,171,39,3.5,4,0,0,8.517193191,2,5000
1,400000,18,2.25,3,1,0,8.517193191,1,5000
1,1315,24,4.5,6,0,0,8.517193191,1,5000
1,500,60,3,3,0,1,8.517193191,1,5000
1,1000,39,4,7,1,1,8.517193191,1,5000
1,1000,43,4.25,7,1,1,8.517193191,1,5000
1,800,32,4.5,7,0,1,8.517193191,1,5000
1,111,42,2.5,4,0,0,8.517193191,1,5000
1,2000,34,3.5,3,1,0,8.517193191,1,5000
1,200,50,4.5,2,0,0,8.699514748,1,6000
1,556,30,4.5,6,0,1,8.517193191,1,5000
1,7324,36,1.5,3,1,0,8.242756346,1,3800
1,100,22,4.5,7,0,1,8.517193191,1,5000
1,10,40,4.5,6,0,1,8.517193191,1,5000
1,300,47,3,4,0,0,8.517193191,1,5000
1,500,41,3.5,7,0,1,8.517193191,1,5000
1,20,31,3,3,0,0,8.006367568,1,3000
1,15,28,4.5,3,0,1,8.188689124,1,3600
1,1,52,3.25,3,0,0,8.517193191,1,5000
1,10000,50,2.25,7,0,1,8.517193191,3,5000
1,8000,48,2.5,6,0,1,8.517193191,3,5000
1,2000,47,4,6,0,1,8.517193191,3,5000
1,3600,61,2.75,6,0,1,8.517193191,3,5000
1,10000,26,3.75,6,0,1,8.517193191,3,5000
1,500000,73,2,6,1,1,8.517193191,3,5000
1,1040,39,3.75,7,1,1,8.517193191,3,5000
1,500,54,4,6,0,1,8.517193191,3,5000
1,4313,39,3,7,1,1,8.517193191,3,5000
1,388,34,4.5,7,0,1,8.517193191,3,5000
1,0,71,3,5,0,1,8.517193191,3,5000
